POA_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
POA6000,3,10,60,21,12,7,3,0,0,115,46,350,1366,482,274,177,50,6,0,2758,0,6,19,9,4,3,0,0,0,40,0,12,255,105,60,27,7,0,0,470,0,16,73,34,19,18,6,4,0,169,0,6,30,16,8,0,4,0,0,58,0,31,190,94,45,31,3,0,0,384,3,8,60,23,16,14,0,0,0,124,17,84,199,59,35,25,6,3,0,431,35,203,428,104,52,30,5,0,0,848,0,14,64,29,24,21,0,0,0,151,0,11,39,14,11,3,3,0,0,76,0,16,119,50,24,12,5,0,0,222,0,3,47,13,13,14,3,3,0,102,5,58,473,215,86,45,12,4,0,902,3,43,130,47,26,14,7,0,0,270,0,23,178,94,73,46,8,0,0,424,4,13,170,78,66,37,19,0,0,396,0,43,310,126,53,59,16,0,0,610,0,18,62,23,7,7,0,0,0,116
POA6003,0,0,24,8,0,3,4,0,0,34,19,117,474,146,81,72,19,0,0,930,0,0,0,0,0,0,0,0,0,0,0,5,52,21,14,3,0,0,0,105,0,3,34,8,7,3,0,0,0,66,0,0,5,4,5,3,0,0,0,16,0,9,75,22,9,3,0,0,0,113,0,0,23,6,3,3,3,0,0,35,4,33,63,26,14,5,3,0,0,145,12,52,173,30,14,5,0,0,0,292,0,3,13,15,10,6,0,0,0,50,0,5,15,16,3,0,0,0,0,37,0,0,36,15,3,3,3,0,0,65,0,4,13,14,6,3,0,0,0,50,0,26,144,56,21,20,9,0,0,279,0,9,46,19,3,4,4,0,0,81,0,8,47,29,25,31,4,0,0,137,0,5,63,26,23,17,4,0,0,133,5,15,91,25,22,17,5,0,0,186,0,4,21,8,5,3,0,0,0,47
POA6004,0,15,35,23,16,10,6,0,0,104,43,329,1187,422,309,258,77,3,0,2621,0,0,12,0,3,3,0,0,0,21,0,19,239,98,74,39,5,0,0,471,0,13,72,36,26,26,14,0,0,202,0,3,25,16,13,4,0,0,0,62,5,34,186,80,49,39,21,0,0,406,0,3,34,23,23,26,3,0,0,112,20,65,147,53,33,35,8,0,0,363,30,191,411,87,35,23,4,5,0,783,0,12,63,21,37,19,11,0,0,171,3,9,24,13,5,6,0,0,0,62,0,25,115,32,21,26,11,3,0,235,0,8,44,10,14,20,12,0,0,119,0,61,396,187,93,65,27,0,0,834,7,36,150,48,22,20,3,0,0,289,0,18,108,69,68,46,7,0,0,319,3,17,115,56,42,64,13,0,0,309,0,49,266,101,78,81,23,4,0,599,5,14,45,20,14,7,0,0,0,110
POA6005,0,6,27,5,8,3,8,0,0,50,23,163,739,233,154,111,36,8,0,1464,0,0,3,0,0,0,4,0,0,10,0,13,111,58,31,11,7,0,0,227,0,10,33,24,11,14,4,0,0,94,0,3,21,10,3,0,0,0,0,43,0,21,92,41,21,9,4,0,0,185,0,3,22,15,8,4,3,0,3,56,5,45,84,20,23,17,4,0,0,204,21,74,164,38,19,5,3,0,0,324,0,3,42,18,7,13,3,0,0,91,0,5,37,12,0,0,5,0,0,60,0,11,54,19,23,13,3,0,0,124,0,3,33,8,13,13,5,3,0,72,0,39,247,101,42,33,11,0,0,479,0,10,75,25,16,11,4,0,0,140,0,8,100,48,29,19,3,4,0,214,3,10,90,50,34,29,7,0,0,216,0,30,187,55,36,34,7,0,0,361,0,6,33,11,8,5,0,0,0,64
POA6006,0,0,18,16,13,3,3,0,0,54,76,218,664,521,488,271,55,4,0,2307,0,3,4,0,4,3,3,0,0,19,0,9,93,77,45,21,3,0,0,253,8,4,39,45,27,27,10,0,0,160,0,4,18,13,11,4,0,0,0,56,9,28,119,84,61,21,13,0,0,344,0,7,18,21,23,13,0,0,0,77,41,75,102,36,52,39,13,0,0,356,44,75,119,49,40,15,3,0,0,346,3,3,31,31,24,20,3,0,0,115,0,10,35,14,15,0,0,0,0,78,0,7,50,56,38,13,3,0,0,175,5,4,17,35,19,12,6,0,0,98,3,39,168,197,128,89,19,0,0,647,0,15,40,29,37,20,3,0,0,147,0,10,83,74,93,50,12,0,0,331,11,19,110,103,121,92,20,3,0,479,0,46,174,135,133,82,11,3,0,574,5,19,30,32,26,6,3,0,0,129
POA6007,0,4,27,19,16,0,0,0,0,63,52,205,707,420,308,229,69,3,0,1997,0,0,10,8,0,0,0,0,0,16,0,12,88,81,50,16,0,0,0,247,3,5,45,28,15,12,5,0,0,119,0,0,14,11,14,9,0,0,0,48,4,26,102,42,31,21,3,0,0,231,0,0,24,18,13,15,8,0,0,82,29,39,80,34,25,19,3,0,0,234,29,83,114,31,8,13,3,0,0,276,0,5,31,19,21,11,3,0,0,90,0,3,31,10,13,4,6,0,0,69,0,7,54,40,25,21,0,0,0,151,3,7,31,15,21,13,4,3,0,99,0,29,227,164,74,47,24,0,0,564,7,8,50,38,20,12,5,0,0,135,0,16,95,61,59,52,12,0,0,292,8,20,95,78,58,75,20,0,0,363,3,45,228,142,116,96,34,0,0,663,3,15,32,19,13,14,3,0,0,89
POA6008,3,6,20,17,22,18,7,0,0,105,128,323,980,726,777,574,182,10,0,3698,0,3,5,3,5,11,4,4,0,36,0,27,126,135,115,52,14,0,0,473,8,15,36,62,41,35,8,0,0,210,0,0,22,23,28,9,0,0,0,84,5,17,114,89,68,47,11,0,0,353,0,11,29,24,35,10,5,0,0,121,68,99,106,63,52,39,21,0,0,449,95,113,117,46,30,27,6,3,0,441,0,7,40,26,34,24,3,0,0,143,0,7,31,28,24,15,5,0,0,107,0,17,76,68,69,49,13,3,0,306,0,14,34,46,31,45,20,5,0,193,5,79,375,328,267,172,80,12,0,1316,0,13,36,58,46,20,13,4,0,189,0,9,103,83,90,89,32,3,0,412,22,49,169,150,204,215,79,3,0,890,0,71,385,241,285,231,71,7,0,1304,15,29,34,23,20,24,9,0,0,163
POA6009,12,20,17,25,29,11,11,3,0,128,292,514,540,675,788,632,220,38,0,3683,13,4,0,12,5,11,13,4,0,68,0,25,72,101,125,69,27,0,0,412,15,12,30,35,35,33,18,3,0,181,0,0,10,14,19,17,10,0,0,68,8,32,46,52,83,41,14,3,0,272,4,8,19,21,26,15,7,7,0,104,128,181,90,49,69,58,23,0,0,603,152,229,84,42,38,24,14,0,0,576,10,8,25,24,26,21,8,0,0,118,9,13,13,12,14,12,8,0,0,86,4,13,36,69,84,49,9,3,0,271,3,17,17,32,60,53,27,6,0,221,9,108,186,237,278,205,69,13,5,1114,7,26,33,39,34,25,13,3,0,172,4,16,63,50,87,84,41,7,0,340,82,170,182,178,220,218,79,14,0,1153,26,95,233,337,374,335,151,25,0,1569,32,39,20,18,26,18,13,3,0,168
POA6010,10,6,22,28,24,24,12,3,0,121,192,307,639,638,874,665,234,32,0,3579,0,3,3,12,10,19,21,3,0,69,0,4,81,114,135,69,19,0,0,419,12,16,32,53,59,35,12,0,0,214,0,0,5,20,7,11,0,0,0,47,9,33,72,76,78,44,19,9,0,335,8,10,16,18,27,26,12,0,0,124,87,135,91,71,98,64,39,12,0,603,108,121,72,26,30,29,19,0,0,402,3,9,32,28,30,23,14,3,0,143,0,14,22,19,27,5,8,0,0,91,0,9,59,60,104,44,31,3,0,309,5,12,36,46,47,43,36,4,0,225,8,68,208,213,269,185,102,24,0,1080,3,17,22,26,40,39,8,5,0,164,0,21,135,115,95,69,34,3,0,465,47,77,119,161,248,226,75,11,0,959,16,65,208,216,320,270,100,19,3,1208,34,29,30,17,23,23,7,3,0,163
POA6011,6,6,14,10,17,10,8,0,0,78,117,186,430,341,469,370,114,14,3,2041,0,0,5,4,13,17,20,0,0,68,0,11,62,61,54,35,11,0,0,236,3,14,20,20,23,33,10,3,0,128,0,0,0,8,12,6,0,0,0,28,0,17,65,41,49,48,13,7,0,237,3,10,16,10,20,20,6,0,0,78,55,43,45,44,74,42,21,0,0,328,55,56,44,29,17,13,3,0,0,225,4,3,15,14,25,11,7,3,0,84,0,3,3,8,13,8,3,0,0,49,0,14,37,49,65,45,12,7,0,227,0,15,30,27,43,34,27,6,0,183,5,37,146,126,166,133,51,9,0,671,0,11,21,17,16,16,5,0,0,84,0,7,28,32,48,33,14,0,0,158,24,34,59,54,107,97,35,0,3,414,4,41,158,124,189,178,46,8,0,757,11,7,10,13,9,8,8,0,0,73
