POA_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6000,0,21,97,33,22,18,3,3,0,192,3,35,127,67,39,19,11,0,0,301,84,651,3067,1225,668,449,124,21,4,6291
POA6003,0,4,24,15,7,7,0,0,0,62,0,5,51,12,15,10,4,0,0,96,32,200,995,362,217,148,42,4,0,1997
POA6004,0,12,66,14,21,17,0,0,0,141,0,32,114,51,45,23,15,3,0,294,73,631,2625,1028,728,593,191,24,0,5888
POA6005,0,13,46,16,13,14,3,0,0,111,0,7,62,24,17,7,10,0,0,121,37,325,1524,585,349,250,93,18,3,3189
POA6006,4,13,51,22,36,26,3,0,0,158,0,12,47,38,44,9,9,3,0,164,131,401,1351,1091,983,585,144,16,0,4705
POA6007,0,19,41,31,21,17,3,0,0,131,0,10,53,40,22,5,3,0,0,137,87,354,1434,914,625,463,146,8,0,4039
POA6008,5,20,44,27,29,25,13,0,0,167,9,22,71,48,50,50,24,3,0,277,245,617,1964,1579,1536,1193,440,54,4,7628
POA6009,13,24,25,29,17,28,12,3,0,143,14,39,46,57,72,40,31,13,0,316,524,1054,1219,1408,1692,1362,574,108,6,7951
POA6010,9,24,29,31,42,35,14,3,0,187,10,18,47,67,68,60,34,11,4,314,362,680,1310,1381,1752,1335,592,105,6,7538
POA6011,8,8,27,10,16,12,7,0,0,86,10,17,37,33,43,38,21,8,0,200,195,346,826,735,992,841,315,55,11,4312
POA6012,3,7,29,23,30,13,8,0,0,120,5,5,36,49,40,25,17,7,3,180,168,339,863,802,950,626,278,40,0,4059
POA6014,13,40,68,41,51,52,20,0,0,276,13,26,90,110,102,49,16,9,4,403,429,897,2205,2368,2284,1545,368,57,8,10168
POA6015,3,11,5,5,17,13,4,3,0,68,16,19,6,21,37,34,12,0,0,149,214,306,241,457,888,571,163,65,12,2921
POA6016,5,19,49,41,29,22,6,0,0,175,4,16,62,62,49,16,8,0,0,210,168,431,1536,1361,1067,613,140,5,0,5322
POA6017,0,9,48,11,12,6,6,0,0,91,0,13,35,21,12,9,3,0,0,95,36,257,1025,441,263,198,56,7,0,2284
POA6018,25,66,191,147,118,112,23,3,0,681,25,65,171,181,165,101,41,9,3,757,834,1477,4936,4286,3967,2549,650,92,11,18797
POA6019,10,35,157,89,72,41,14,3,0,418,8,38,146,126,79,63,24,14,0,493,360,1012,3758,2695,2209,1453,395,69,3,11944
POA6020,18,29,58,58,59,65,23,0,0,315,22,32,54,107,95,65,31,6,0,408,544,802,1401,2129,2510,2186,649,49,14,10273
POA6021,10,29,132,62,83,52,20,0,0,393,16,40,105,104,84,62,23,6,3,435,390,859,2507,2160,1935,1330,378,48,3,9604
POA6022,3,9,31,22,20,11,3,0,0,111,0,8,24,21,21,14,3,0,0,86,99,171,561,584,468,385,140,7,0,2413
POA6023,10,25,40,71,56,46,11,0,0,267,7,23,53,73,63,47,14,3,4,293,413,598,1016,1764,1824,1372,410,21,7,7427
POA6024,8,19,51,59,50,37,22,0,0,246,9,27,48,49,46,50,19,3,0,256,308,480,1422,1518,1374,1061,348,24,0,6530
POA6025,13,73,123,125,121,88,31,0,0,577,21,55,107,141,156,121,32,3,4,635,796,1366,2972,3223,3441,2673,667,40,6,15184
POA6026,23,57,73,71,110,101,30,0,0,464,26,31,50,91,126,88,22,4,0,438,750,1010,1567,2245,2820,2497,478,30,0,11397
POA6027,48,98,228,156,170,140,29,0,0,867,45,106,188,191,208,130,55,9,0,924,1329,2192,4303,4226,5000,3808,753,54,4,21658
POA6028,28,57,71,91,131,82,12,0,0,473,37,52,67,99,163,77,17,0,0,518,955,1296,1577,2601,3652,1829,260,20,0,12184
POA6029,0,4,13,10,4,3,4,0,0,44,3,3,5,18,22,6,8,0,0,68,87,108,241,295,343,241,77,10,3,1404
POA6030,39,91,178,165,174,72,10,3,0,739,49,120,184,162,203,131,18,7,0,869,1258,1927,3779,4155,4547,2185,400,38,0,18279
POA6031,25,66,140,87,73,34,3,0,0,436,19,47,103,78,76,24,3,0,0,357,505,873,2422,2050,1692,726,121,5,0,8383
POA6032,0,0,0,3,0,3,0,0,0,3,0,3,0,0,4,0,0,0,0,11,9,11,17,26,32,21,3,0,0,112
POA6033,0,0,0,0,3,3,0,0,0,7,0,3,5,4,3,0,0,0,0,19,11,20,22,41,60,42,14,3,0,212
POA6034,3,14,23,10,3,0,0,0,0,52,0,10,16,5,9,6,0,0,0,37,33,144,372,174,126,54,11,0,0,916
POA6035,8,13,52,31,40,17,3,0,0,162,12,17,35,42,38,16,10,0,0,172,179,331,923,921,844,431,101,6,0,3743
POA6036,14,37,108,78,68,15,5,0,0,332,19,30,65,82,62,17,10,0,0,283,505,745,1817,1845,1648,581,120,14,0,7276
POA6037,3,8,8,11,16,5,0,0,0,55,0,4,18,9,18,8,3,3,0,68,58,89,246,258,307,185,41,3,0,1179
POA6038,3,25,73,33,21,3,0,0,0,166,9,24,37,26,28,9,4,0,0,128,136,413,1201,751,541,178,35,3,3,3263
POA6041,0,0,0,7,3,0,0,0,0,19,3,3,3,4,8,4,4,0,0,34,24,28,71,104,152,114,34,5,0,526
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,7,4,0,0,26
POA6043,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,6,0,0,8,23,20,20,8,3,0,80
POA6044,0,4,3,0,0,4,0,0,0,12,0,0,3,3,8,0,0,0,0,19,23,28,94,76,110,113,32,8,0,485
POA6050,7,25,65,32,35,43,15,6,0,227,10,29,75,57,74,50,17,3,3,306,315,803,1936,1511,1631,1205,350,43,5,7788
POA6051,3,29,92,49,29,25,6,0,0,232,5,24,97,60,41,38,8,0,0,282,140,660,2715,1612,1022,704,191,20,0,7064
POA6052,10,13,59,49,47,40,10,0,0,219,4,16,52,60,47,33,12,4,0,233,261,486,1360,1350,1262,818,168,19,0,5722
POA6053,3,23,73,54,70,35,12,0,0,270,6,29,87,93,73,31,10,0,0,326,275,563,1879,1835,1571,1076,200,13,3,7420
