POA_CODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
POA6000,128,209,284,232,561,808,455,812,39,3538,0,0,3,0,3,0,0,0,0,14,4,0,6,8,9,32,16,41,0,120,3,6,4,3,15,11,5,3,0,54,0,0,0,5,3,10,3,5,0,20,3,3,8,3,11,22,8,12,0,72,0,6,0,6,12,12,8,5,0,47,7,33,37,33,48,23,24,26,7,238,9,73,107,53,49,40,26,40,3,410,3,0,3,3,9,14,7,8,0,41,3,3,0,3,8,6,3,0,0,35,4,10,4,0,41,22,10,14,0,115,0,0,4,0,13,4,11,4,0,40,12,26,20,22,47,95,51,54,0,333,4,24,41,13,20,17,13,19,0,146,9,5,12,12,66,39,23,23,0,192,9,25,25,20,39,53,18,38,0,213,19,29,58,53,107,62,27,32,7,401,4,4,11,7,12,4,0,5,0,59,0,12,17,5,27,19,6,16,0,100
POA6003,33,76,111,69,159,228,135,240,15,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,11,7,0,34,3,0,0,3,8,0,0,0,0,20,0,0,0,0,3,6,3,0,0,11,0,0,0,0,3,10,7,3,0,30,0,0,0,0,4,0,0,0,0,9,0,18,12,12,19,13,4,3,0,79,3,20,31,22,16,16,5,14,3,135,3,0,0,5,0,3,0,3,0,17,0,3,0,0,7,0,0,0,0,12,3,0,7,0,9,9,3,3,0,31,0,0,4,0,3,9,3,4,0,23,3,5,3,6,20,32,13,35,0,123,0,8,10,8,3,5,5,5,0,40,4,3,6,7,20,10,4,10,0,67,3,11,9,13,21,14,10,13,0,80,10,11,12,17,34,21,13,9,0,133,0,0,3,3,0,0,3,0,0,15,0,5,0,3,5,6,4,10,0,27
POA6004,111,164,295,190,489,813,371,773,52,3268,0,0,0,0,0,5,3,0,0,9,6,3,3,9,16,47,19,34,0,132,0,10,9,5,18,14,5,3,0,70,0,0,0,0,7,5,0,3,0,25,4,5,4,7,12,26,9,15,0,79,3,4,7,0,4,12,7,3,0,40,9,35,23,29,40,21,10,11,0,177,13,41,110,34,55,46,17,36,9,369,0,4,3,3,8,15,0,9,0,51,0,0,0,3,3,4,3,0,0,21,5,5,3,3,36,41,11,13,0,110,0,10,8,7,21,14,0,8,0,60,9,12,22,17,71,115,42,47,0,333,12,31,44,9,22,21,10,11,0,155,10,4,7,6,63,31,11,12,0,149,9,19,32,25,33,32,17,27,0,198,11,44,55,51,99,93,26,35,0,411,3,11,7,12,10,3,3,3,0,46,0,6,11,10,18,14,6,3,3,80
POA6005,53,102,112,111,256,451,221,391,22,1718,0,0,0,0,0,0,0,0,0,7,0,0,0,0,11,13,17,26,0,71,0,4,0,0,6,9,0,6,0,24,0,0,3,0,6,3,4,0,0,16,4,4,3,0,4,11,4,7,0,38,0,3,0,0,3,3,4,6,0,19,3,19,15,23,24,10,9,4,0,107,0,29,33,23,21,21,17,18,0,167,0,0,3,3,7,10,4,3,0,32,0,0,4,0,5,6,4,4,0,26,3,0,3,6,19,14,7,9,0,51,0,0,0,4,11,9,6,3,0,33,4,14,9,10,30,57,28,30,3,178,0,14,15,11,12,15,5,5,3,84,3,5,0,10,41,17,7,6,0,94,3,12,22,13,29,22,25,16,3,140,15,17,21,33,74,38,23,28,3,246,0,10,4,0,4,7,0,4,0,27,0,0,5,8,15,10,7,4,3,57
POA6006,42,191,153,152,347,570,319,597,30,2396,0,0,0,0,0,0,0,4,0,9,5,0,7,9,6,25,12,23,0,81,0,9,8,9,6,12,5,7,0,54,0,0,3,3,3,3,0,0,0,22,0,4,3,8,3,14,3,7,0,44,6,0,5,3,5,4,0,4,0,28,3,53,35,34,30,15,7,16,3,198,0,43,39,22,16,12,14,15,0,172,0,5,0,7,4,3,0,0,0,20,0,5,9,8,6,0,3,3,0,38,5,3,8,12,15,29,9,10,0,89,0,4,6,3,5,7,3,5,0,39,11,33,39,39,34,50,31,24,0,264,0,14,12,12,14,13,9,7,0,81,14,11,22,17,50,32,15,13,0,186,7,60,53,41,54,50,23,45,6,337,21,50,73,70,103,47,35,33,0,435,0,15,10,9,13,10,3,6,0,63,0,26,10,16,19,13,3,8,0,99
POA6007,54,143,133,143,282,517,282,480,13,2046,0,0,0,0,0,0,0,0,0,3,3,4,9,3,8,24,14,23,3,85,5,6,5,0,8,15,3,3,0,43,0,0,0,0,3,7,0,0,0,15,0,3,9,3,7,10,3,4,0,36,0,3,0,4,5,8,5,4,0,27,3,38,22,14,19,20,5,10,3,133,6,30,27,24,16,12,5,12,4,139,0,0,0,4,3,3,5,0,0,21,0,0,0,7,3,4,3,3,0,25,3,3,3,4,22,16,11,9,0,71,0,6,6,6,9,11,5,12,0,49,16,16,18,20,19,75,27,45,0,231,4,10,5,8,8,16,9,9,0,68,11,3,11,15,41,36,18,12,0,154,6,33,45,27,49,36,25,29,0,248,17,53,82,65,119,63,30,35,0,468,0,14,7,7,4,5,3,4,0,48,4,9,11,11,26,8,0,3,0,73
POA6008,90,386,269,256,432,910,511,1015,45,3927,0,3,3,4,0,3,0,0,0,10,9,0,8,16,19,45,21,31,0,142,7,15,8,8,13,14,9,4,0,68,0,0,3,3,10,4,3,4,0,30,0,6,13,9,12,17,3,16,0,73,0,5,8,9,4,9,7,6,0,52,4,78,45,38,26,23,8,13,3,239,14,72,29,33,25,13,11,20,0,213,4,3,4,8,11,8,0,3,0,49,0,5,3,3,9,6,4,5,0,38,3,10,12,16,22,23,15,17,0,118,4,21,4,11,9,18,6,12,0,86,27,71,57,60,73,122,52,88,3,550,0,14,17,17,12,19,11,15,0,101,8,14,21,23,48,49,28,17,0,202,23,100,83,78,77,79,51,76,6,573,30,111,149,142,159,147,69,62,8,876,3,26,6,9,8,13,7,0,0,86,10,20,6,10,14,13,3,7,0,94
POA6009,113,715,314,293,399,802,402,1148,78,4269,0,10,6,0,0,9,0,0,0,28,11,3,11,4,13,14,11,23,0,85,3,12,12,7,9,12,6,0,0,62,0,0,0,3,3,11,4,0,0,21,0,7,9,9,7,3,3,8,0,53,0,8,6,3,0,10,0,5,0,35,16,140,52,32,22,17,14,11,10,316,14,143,56,33,13,11,8,13,11,301,0,5,3,4,0,3,4,0,0,30,3,5,3,0,7,4,0,6,0,31,0,13,10,13,6,15,7,12,0,85,0,14,9,12,8,24,3,10,0,80,12,88,58,64,37,64,42,76,3,450,4,23,16,15,0,19,3,7,0,82,8,9,13,19,41,33,20,17,0,161,24,205,84,89,59,72,50,82,13,688,36,165,183,140,119,127,48,69,3,912,5,33,7,5,5,9,0,7,7,80,0,25,11,11,9,7,0,5,0,70
POA6010,84,510,260,250,372,825,450,1156,48,3960,0,13,3,8,0,0,3,3,0,27,3,3,14,10,11,14,15,27,0,88,3,19,12,9,0,7,7,3,0,61,0,0,0,0,3,0,3,6,0,13,3,12,9,9,6,14,5,3,0,73,0,12,8,8,5,9,3,3,0,49,10,121,56,46,31,19,13,20,3,325,5,89,40,21,11,13,9,13,0,206,3,5,5,8,3,11,8,0,0,41,0,6,5,4,5,4,7,7,0,41,3,11,14,15,13,25,3,20,4,109,4,17,11,6,12,19,12,6,0,94,15,86,44,65,44,70,39,60,0,429,0,17,9,10,13,18,3,11,5,92,3,16,15,18,31,30,19,22,0,165,20,170,103,83,82,90,38,72,3,662,27,150,153,156,104,107,42,70,0,802,3,30,10,8,5,8,4,4,0,67,3,28,23,17,15,10,6,7,0,117
POA6011,55,251,146,151,181,485,239,744,22,2269,0,3,0,3,0,3,0,4,0,13,3,0,7,5,3,11,3,18,0,54,0,4,0,5,3,10,0,4,0,35,0,3,0,0,0,0,0,0,0,4,3,3,4,9,5,8,4,3,0,42,0,6,3,5,0,3,0,3,0,32,3,48,27,32,11,19,10,10,0,166,5,58,17,17,9,9,3,13,0,134,0,0,3,0,3,9,0,0,0,21,0,3,8,0,3,3,0,0,0,22,0,20,8,3,7,17,5,6,0,71,4,12,10,10,0,16,4,16,0,67,7,47,39,38,25,37,31,60,0,281,0,8,8,9,3,9,5,10,3,53,6,7,9,13,19,15,7,9,0,81,9,61,60,37,31,45,29,29,7,305,23,100,79,73,69,75,31,35,5,482,0,18,7,3,4,4,0,4,3,39,0,16,5,5,4,11,3,4,0,54
