POA_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
POA6000,3,18,25,15,49,26,25,35,0,192,8,25,37,23,34,70,18,41,34,301,235,491,668,498,1116,1332,716,1167,77,6291
POA6003,0,6,4,3,10,9,5,17,0,62,4,10,10,5,10,19,11,6,13,96,62,162,213,166,356,398,233,368,30,1997
POA6004,5,7,18,12,29,27,15,20,3,141,12,18,20,18,38,62,34,40,44,294,220,407,641,430,1047,1398,575,1070,95,5888
POA6005,4,5,10,7,24,24,12,20,3,111,4,9,9,5,6,25,15,19,29,121,99,248,264,249,572,746,394,570,49,3189
POA6006,0,33,10,24,28,24,8,20,3,158,7,19,9,13,25,25,13,36,25,164,135,541,496,475,739,911,511,837,57,4705
POA6007,9,10,10,15,34,25,6,20,0,131,4,14,7,4,19,46,10,28,14,137,137,392,393,379,658,888,466,703,36,4039
POA6008,10,37,10,17,20,30,17,27,0,167,11,37,21,20,18,53,22,50,37,277,241,979,745,757,994,1558,839,1426,88,7628
POA6009,0,38,13,15,20,12,10,26,0,143,15,71,33,21,16,50,21,59,39,316,273,1668,883,771,763,1282,638,1530,144,7951
POA6010,3,46,30,28,30,14,12,28,0,187,11,58,28,17,33,61,31,48,37,314,201,1339,817,767,782,1318,693,1531,88,7538
POA6011,3,19,3,10,10,15,5,14,0,86,3,45,15,13,10,38,19,38,28,200,131,704,434,430,393,802,379,981,50,4312
POA6012,9,20,21,18,14,18,11,16,3,120,7,29,14,11,12,30,10,30,27,180,126,649,495,430,489,725,352,740,61,4059
POA6014,0,42,30,37,43,53,27,41,0,276,16,51,48,35,48,62,26,73,50,403,325,1443,1242,1102,1357,1892,985,1697,115,10168
POA6015,3,20,10,9,7,11,0,5,0,68,3,29,12,12,8,25,7,30,21,149,81,594,336,298,254,476,266,579,44,2921
POA6016,0,40,27,24,35,25,13,17,0,175,0,20,24,24,41,44,9,18,27,210,190,660,674,543,870,1035,493,793,72,5322
POA6017,3,5,9,6,24,13,6,15,0,91,3,6,6,13,23,18,5,8,12,95,68,182,279,241,549,440,209,272,42,2284
POA6018,20,103,79,77,109,131,63,89,5,681,18,103,55,53,92,147,53,132,109,757,668,2419,1901,1961,2758,3753,1986,3114,236,18797
POA6019,12,58,43,63,65,86,35,58,3,418,14,56,39,41,60,98,41,86,57,493,383,1345,1153,1164,1812,2437,1326,2198,141,11944
POA6020,10,53,37,35,38,61,27,46,3,315,12,57,40,37,33,93,29,69,46,408,364,1614,1251,1114,1221,1946,934,1699,136,10273
POA6021,10,45,38,57,77,67,45,53,0,393,13,34,42,31,63,93,41,52,74,435,303,1143,1069,983,1795,1979,861,1319,149,9604
POA6022,7,21,10,13,21,14,11,15,0,111,3,11,8,9,14,14,6,7,13,86,102,298,272,287,411,442,233,338,34,2413
POA6023,5,47,43,32,46,37,15,38,3,267,13,36,21,32,33,55,25,41,35,293,255,1130,895,823,1049,1316,712,1151,95,7427
POA6024,9,40,26,32,47,50,22,26,3,246,7,24,28,14,34,52,27,25,36,256,286,800,775,708,1137,1274,619,834,91,6530
POA6025,14,87,77,77,95,89,52,79,0,577,24,76,49,52,93,108,56,93,88,635,581,1979,1693,1706,2435,2844,1429,2306,200,15184
POA6026,9,85,42,54,81,84,42,68,3,464,13,58,36,31,69,89,31,55,50,438,434,1616,1336,1279,1834,2118,1054,1608,124,11397
POA6027,27,123,77,119,165,165,84,93,11,867,47,86,58,58,134,181,70,132,162,924,800,2789,2304,2472,3850,4116,1909,3047,370,21658
POA6028,13,80,54,64,58,102,38,64,4,473,17,63,38,45,62,108,27,88,74,518,398,1719,1246,1371,1972,2440,1112,1758,162,12184
POA6029,0,8,4,4,9,8,3,10,0,44,4,7,4,5,7,12,3,13,13,68,42,223,147,157,153,253,117,275,21,1404
POA6030,12,93,79,96,140,133,66,114,3,739,35,75,71,49,110,175,67,106,177,869,709,2333,1787,2120,3312,3409,1577,2669,366,18279
POA6031,14,52,37,33,112,79,48,53,3,436,17,28,35,24,58,75,18,38,62,357,318,932,750,957,1738,1628,767,1137,161,8383
POA6032,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,3,0,0,3,11,3,15,18,9,23,17,4,16,4,112
POA6033,0,3,3,0,0,3,0,0,0,7,0,6,0,0,3,7,0,0,3,19,5,34,28,22,27,34,9,34,10,212
POA6034,0,6,6,3,12,14,7,3,3,52,0,0,3,3,0,11,0,8,13,37,42,71,69,100,184,195,97,138,24,916
POA6035,3,21,23,21,33,28,13,20,0,162,9,18,5,7,39,20,16,24,39,172,177,391,358,401,683,669,283,690,77,3743
POA6036,18,50,28,36,70,70,31,31,0,332,15,16,17,22,46,53,26,34,52,283,322,798,667,821,1439,1375,680,1056,116,7276
POA6037,0,8,7,3,9,11,5,15,0,55,3,5,3,3,5,16,3,11,21,68,62,139,123,140,170,184,91,231,36,1179
POA6038,4,23,12,22,31,32,24,17,3,166,3,6,6,14,24,25,10,18,23,128,150,283,283,328,692,648,316,523,47,3263
POA6041,0,4,3,3,0,3,0,0,0,19,0,3,8,3,0,4,3,6,3,34,22,77,66,54,77,79,35,100,16,526
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,3,3,3,0,3,0,26
POA6043,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,6,9,15,13,14,3,10,3,19,5,80
POA6044,0,3,0,0,0,0,0,3,0,12,3,0,0,0,0,0,0,5,7,19,31,56,44,44,34,57,53,136,18,485
POA6050,10,37,30,26,43,36,19,35,3,227,9,35,32,16,49,57,21,44,45,306,244,1046,878,823,1180,1421,732,1344,117,7788
POA6051,8,21,28,24,42,45,35,27,3,232,11,28,39,18,33,65,22,28,43,282,251,639,715,705,1434,1445,722,1057,99,7064
POA6052,6,22,22,24,34,42,30,35,0,219,8,30,22,17,20,52,24,35,16,233,220,678,628,591,982,1119,585,867,51,5722
