POA_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA6000,930,2217,683,650,752,349,153,457,100,6291
POA6003,291,643,226,227,221,145,51,159,34,1997
POA6004,959,2001,623,578,665,370,138,435,112,5888
POA6005,446,1272,278,306,374,198,73,188,56,3189
POA6006,729,1778,500,407,566,331,106,226,64,4705
POA6007,575,1753,355,357,439,258,81,185,45,4039
POA6008,1224,3584,482,580,789,477,75,309,111,7628
POA6009,1232,3638,340,725,822,621,117,338,120,7951
POA6010,1393,3179,403,717,803,588,93,238,127,7538
POA6011,913,1941,215,309,388,286,46,123,86,4312
POA6012,720,1531,300,397,458,321,62,218,59,4059
POA6014,1632,3978,771,909,1174,751,209,628,117,10168
POA6015,587,1191,162,228,335,250,32,90,60,2921
POA6016,721,1870,519,492,623,408,176,460,58,5322
POA6017,214,502,300,281,328,188,138,292,30,2284
POA6018,2743,6126,2285,1749,2562,1590,518,966,253,18797
POA6019,1837,3773,1609,1197,1465,953,332,633,146,11944
POA6020,1728,3167,1171,896,1447,958,282,466,163,10273
POA6021,1173,2259,1479,839,1460,981,454,807,151,9604
POA6022,243,610,417,249,359,201,114,176,44,2413
POA6023,1098,2214,977,726,1066,650,200,392,109,7427
POA6024,723,1543,1095,660,1012,581,307,498,106,6530
POA6025,2004,3532,2559,1558,2202,1378,632,1076,237,15184
POA6026,1387,2677,1698,1207,1948,1156,454,746,126,11397
POA6027,2416,4598,3723,2479,3166,2218,988,1742,331,21658
POA6028,1595,2595,1970,1333,1830,1330,465,873,189,12184
POA6029,254,470,161,130,163,135,30,54,16,1404
POA6030,1857,2756,3508,2249,2443,1946,1187,1983,345,18279
POA6031,758,1274,1651,1036,1281,846,570,821,139,8383
POA6032,29,24,18,4,14,7,3,15,3,112
POA6033,52,28,34,15,27,15,17,23,3,212
POA6034,83,120,205,124,146,91,60,74,15,916
POA6035,306,484,809,460,461,351,341,472,54,3743
POA6036,671,1073,1465,955,951,815,517,731,103,7276
POA6037,95,125,283,119,137,101,129,170,24,1179
POA6038,299,512,673,467,479,307,199,293,36,3263
POA6041,58,44,104,38,59,42,68,109,11,526
