POA_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
POA6000,0,0,0,0,0,0,0,0,0,16,0,18,0,0,0,0,0,0,0,3,0,4,0,9,0,0,0,0,0,0,0,3,0,4,0,9,0,0,0,0,0,0,0,3,0,0,0,6,0,5,0,0,0,3,0,8,0,14,0,25,0,3,0,0,0,5,0,0,0,10,0,23,4,14,0,3,0,5,0,16,0,22,0,66,0,6,0,5,0,9,3,6,0,21,0,46,0,19,0,9,0,13,3,6,0,11,0,62,9,6,0,15,0,14,0,4,0,9,0,62,16,7,0,21,0,27,0,3,0,0,0,83,28,5,0,20,0,22,0,4,0,3,0,88,104,6,0,44,8,44,0,3,3,3,0,214,82,3,0,42,6,16,0,3,0,0,0,148,86,0,0,24,3,3,0,0,0,3,0,124,64,0,0,9,3,31,0,0,3,0,0,111,146,4,5,37,11,23,0,3
POA6003,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,3,0,3,0,8,0,5,0,3,0,0,0,0,0,13,0,26,0,8,0,3,0,4,0,0,0,3,0,18,3,3,0,3,0,13,0,0,0,4,0,29,3,0,0,6,0,3,0,0,0,0,0,18,12,0,0,10,0,3,0,0,0,0,0,32,13,0,0,8,0,3,0,0,0,3,0,25,42,10,0,9,0,6,0,3,0,4,0,77,26,0,0,9,0,3,0,0,0,0,0,45,22,3,0,5,0,4,0,0,0,0,0,42,20,0,0,3,0,3,0,0,0,0,0,29,44,0,0,5,7,4,0,0
POA6004,3,0,0,0,0,0,0,0,0,27,0,27,0,0,0,0,0,0,0,3,0,4,0,9,0,0,0,0,0,0,0,5,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,0,21,0,0,0,0,0,3,0,12,0,10,0,25,0,10,0,0,0,10,0,15,0,23,0,60,0,8,0,3,0,8,0,11,0,26,0,49,4,18,0,11,0,25,3,11,0,25,0,100,11,13,0,35,0,20,0,3,4,13,0,98,12,3,0,26,0,19,0,8,0,12,0,80,24,9,0,22,0,17,0,3,0,13,0,90,98,8,3,32,8,40,0,3,3,15,0,201,87,10,4,39,5,22,0,3,3,4,0,172,71,7,0,9,0,0,0,0,0,4,0,105,59,0,0,10,0,46,0,0,0,5,0,123,158,4,4,40,10,28,3,3
POA6005,0,0,0,0,0,0,0,0,0,15,0,12,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,3,0,11,0,0,0,0,0,3,0,3,0,0,0,10,0,7,0,3,0,3,0,4,0,8,0,28,0,5,0,0,0,3,0,3,0,4,0,24,0,5,0,7,0,7,0,4,0,5,0,32,10,3,0,14,0,17,0,3,0,9,0,54,10,5,0,12,3,10,0,0,0,3,0,37,11,3,0,15,0,6,0,3,0,4,0,44,48,5,0,11,0,10,0,4,0,3,0,86,40,0,0,17,0,7,0,0,0,3,0,71,47,3,0,6,0,0,0,3,0,4,0,66,38,0,0,6,0,12,0,0,0,0,0,63,96,4,4,26,3,10,0,7
POA6006,0,0,0,0,0,0,0,0,0,10,0,16,0,0,0,0,0,0,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,4,0,3,0,0,0,0,0,0,0,22,0,25,0,0,0,0,0,5,0,9,0,3,0,19,0,0,0,0,0,3,0,7,0,48,0,58,3,0,0,0,0,3,0,7,3,9,0,30,3,3,0,3,0,3,0,4,0,21,0,46,8,7,0,14,0,6,0,9,0,11,0,52,3,3,0,10,0,8,0,7,0,5,0,33,4,0,0,10,0,4,0,6,0,5,0,31,47,3,0,28,0,20,0,5,0,8,0,114,29,4,0,23,0,3,0,3,0,4,0,63,38,0,0,10,0,7,0,0,0,0,0,59,42,0,0,6,0,9,0,0,0,0,0,63,123,3,3,29,3,15,0,7
POA6007,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,3,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,5,0,13,0,0,0,0,0,0,0,3,0,3,0,13,0,11,0,0,0,0,0,4,0,23,0,39,0,5,0,0,0,5,0,6,0,4,0,22,0,11,0,0,0,5,0,10,0,14,0,36,4,3,0,11,0,7,0,5,0,4,0,42,4,5,0,6,0,10,0,0,0,3,0,27,10,5,0,10,0,4,0,0,0,7,0,34,44,6,4,15,0,19,0,3,0,14,0,108,47,3,0,21,0,6,0,3,0,9,0,89,46,3,3,18,4,7,0,3,0,3,0,85,31,0,0,7,3,12,0,3,0,0,0,54,115,7,3,33,7,18,3,3
POA6008,0,0,0,0,0,0,0,0,0,15,0,19,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,3,0,25,4,27,0,0,0,0,0,0,0,8,0,9,0,17,0,6,0,0,0,4,0,7,0,44,0,67,0,0,0,0,0,3,0,12,0,28,0,48,0,8,0,5,0,8,0,21,3,53,0,105,4,10,0,9,0,15,0,18,3,30,0,87,8,4,0,15,0,11,0,11,0,16,0,69,9,8,0,8,0,14,0,9,0,20,0,76,56,9,0,45,5,32,0,20,0,22,0,188,85,12,0,24,0,11,0,8,0,16,0,170,65,8,3,24,3,10,0,4,3,10,0,129,60,3,0,6,0,37,0,6,0,11,0,126,167,17,5,60,4,45,0,13
POA6009,0,0,0,0,0,0,0,0,0,32,0,33,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,6,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,17,0,21,0,0,0,0,0,0,0,11,0,12,0,24,0,0,0,0,0,3,0,3,0,43,0,54,0,6,0,0,0,3,0,11,0,40,4,63,0,7,0,3,0,9,0,20,0,53,0,95,3,9,0,17,0,7,0,10,0,52,0,99,0,5,0,6,0,10,0,11,0,25,0,67,6,0,0,18,0,12,0,16,3,40,0,85,18,17,0,13,0,20,0,23,0,50,0,150,31,5,0,25,0,12,0,16,3,40,0,131,24,8,0,14,3,8,0,10,0,24,0,96,19,3,0,9,3,31,0,5,0,11,0,81,103,28,3,77,5,51,3,43
POA6010,0,0,0,0,0,0,0,0,0,14,0,17,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,3,0,0,0,6,0,3,0,0,0,0,0,3,0,12,0,15,0,0,0,0,0,0,0,3,0,10,0,21,0,3,0,0,0,3,0,16,0,52,0,68,0,3,0,0,0,3,0,13,0,35,0,61,0,11,0,3,0,12,0,17,0,69,0,111,6,9,0,22,0,8,0,15,0,76,6,129,8,4,0,10,0,12,0,13,3,31,0,87,9,3,0,16,3,6,0,10,3,37,0,80,27,16,0,25,0,20,0,12,0,59,3,157,23,10,0,25,0,4,0,17,0,37,0,113,37,12,0,22,0,10,0,6,0,25,0,111,28,0,0,10,0,28,0,6,0,20,0,103,105,27,0,78,0,55,3,30
POA6011,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,3,0,24,3,34,0,0,0,4,0,4,0,0,0,9,0,27,0,7,0,4,0,0,0,4,0,19,0,35,0,0,0,3,0,7,0,9,0,21,0,52,5,3,0,5,0,3,0,7,0,11,0,37,3,0,0,4,0,3,0,6,0,15,0,34,12,5,0,9,0,13,3,9,0,18,0,77,14,3,0,19,3,5,0,8,0,23,0,78,25,3,0,8,0,3,0,3,0,15,0,59,20,0,0,8,0,29,0,6,0,12,0,74,98,20,4,58,4,46,3,29
